1, 0
1, 115
1, 153
1, 154
1, 159
1, 161
1, 162
1, 171
1, 186
1, 197
1, 225
1, 238
1, 240
1, 249
1, 262
1, 276
1, 300
1, 308
1, 341
1, 353
1, 411
1, 503
1, 508
2, 0
2, 1
2, 3
2, 7
2, 9
2, 115
2, 139
2, 286
2, 385
2, 492
2, 507
2, 540
3, 0
3, 1
3, 23
3, 75
3, 81
3, 90
3, 143
3, 179
3, 285
3, 294
3, 392
3, 408
3, 452
3, 567
4, 0
4, 1
4, 2
4, 4
4, 29
4, 93
4, 148
4, 158
4, 168
4, 178
4, 193
4, 194
4, 195
4, 196
4, 205
4, 266
4, 323
4, 420
4, 484
4, 507
4, 559
4, 564
5, 0
5, 1
5, 61
5, 142
5, 176
5, 209
5, 213
5, 214
5, 221
5, 265
5, 352
5, 387
5, 401
5, 408
6, 0
6, 1
6, 2
6, 4
6, 7
6, 18
6, 181
6, 258
6, 406
6, 510
6, 511
6, 512
6, 514
6, 520
6, 527
7, 0
7, 2
7, 103
7, 135
7, 167
7, 213
7, 323
8, 0
8, 1
8, 2
8, 8
8, 25
8, 43
8, 66
8, 119
8, 171
8, 311
9, 0
9, 1
9, 3
9, 14
9, 15
9, 17
9, 18
9, 20
9, 184
9, 191
9, 219
9, 239
9, 252
9, 313
9, 319
9, 435
9, 552
10, 0
10, 1
10, 7
10, 12
10, 57
10, 68
10, 76
10, 87
10, 97
10, 98
10, 119
10, 247
10, 357
10, 362
10, 443
10, 481
10, 505
10, 513
11, 0
11, 1
11, 6
11, 46
11, 191
11, 209
11, 242
11, 252
11, 301
11, 344
11, 461
11, 496
11, 520
12, 0
12, 1
12, 10
12, 165
12, 180
12, 310
12, 325
12, 464
12, 469
12, 524
13, 0
13, 2
13, 98
13, 183
13, 195
13, 230
13, 320
13, 341
13, 348
13, 364
13, 399
13, 565
13, 569
14, 0
14, 4
14, 57
14, 71
14, 79
14, 84
14, 123
14, 137
14, 377
14, 385
14, 419
14, 485
14, 560
15, 0
15, 1
15, 42
15, 77
15, 78
15, 79
15, 132
15, 207
15, 249
15, 259
15, 319
15, 324
15, 334
15, 357
15, 366
15, 378
15, 413
15, 437
16, 0
16, 13
16, 57
16, 64
16, 76
16, 81
16, 84
16, 180
16, 190
16, 312
16, 325
16, 350
16, 432
16, 477
16, 531
16, 542
16, 568
17, 0
17, 1
17, 12
17, 19
17, 74
17, 292
17, 348
17, 358
17, 387
17, 407
17, 498
17, 536
18, 0
18, 1
18, 64
18, 66
18, 111
18, 119
18, 149
18, 273
18, 333
18, 356
18, 365
18, 375
18, 399
18, 420
18, 428
18, 471
18, 486
18, 494
18, 512
18, 525
18, 527
18, 540
18, 559
19, 0
19, 3
19, 78
19, 138
19, 169
19, 204
19, 329
19, 330
19, 351
19, 424
19, 457
19, 494
19, 499
19, 527
20, 0
20, 1
20, 18
20, 41
20, 96
20, 165
20, 169
20, 214
20, 408
20, 469
20, 543
20, 544
20, 554
21, 0
21, 1
21, 3
21, 46
21, 70
21, 130
21, 148
21, 204
21, 216
21, 287
21, 370
21, 457
21, 465
21, 481
21, 512
21, 535
22, 0
22, 2
22, 45
22, 63
22, 78
22, 108
22, 143
22, 303
22, 342
22, 408
22, 540
23, 0
23, 1
23, 16
23, 22
23, 91
23, 98
23, 103
23, 185
23, 265
23, 290
23, 305
23, 345
23, 350
23, 390
23, 423
23, 436
23, 444
23, 508
24, 0
24, 1
24, 149
24, 212
24, 342
24, 443
24, 484
24, 516
25, 0
25, 1
25, 39
25, 45
25, 78
25, 164
25, 275
25, 307
