01	68	72	280	72	0	50
02	280	280	280	284	0	50
03	280	284	276	284	0	50
04	280	280	280	280	0	50
05	280	284	276	280	0	50
06	68	284	68	280	50	0
07	280	284	280	280	50	0
08	68	72	280	72	0	50
09	284	284	276	284	0	50
10	276	280	276	284	0	50
11	944	280	276	280	0	50
12	276	280	280	280	0	50
13	280	72	68	280	50	0
14	280	280	280	280	50	0
15	280	280	276	284	50	0
16	68	72	280	72	0	50
17	280	284	280	280	0	50
18	280	280	276	280	0	50
19	280	284	276	280	0	50
20	72	280	68	280	50	0
21	280	284	276	284	50	0
22	276	280	276	284	50	0
23	68	72	280	72	0	50
24	280	280	280	280	0	50
25	280	280	276	280	0	50
26	276	284	276	280	0	50
27	280	280	280	280	0	50
28	68	280	68	524	50	0
29	280	280	280	284	50	0
30	276	280	276	72	0	50
31	72	72	280	280	0	50
32	280	280	280	284	0	50
33	300	284	280	284	0	50
34	280	284	276	280	0	50
35	280	76	68	280	50	0
36	280	280	276	280	50	0
37	280	280	276	280	50	0
38	68	76	276	72	0	50
39	280	280	280	284	0	50
40	280	284	276	284	0	50
41	276	280	276	280	0	50
42	292	280	68	284	50	0
43	280	280	280	284	50	0
44	280	284	280	284	50	0
45	68	72	276	72	0	50
46	280	280	280	280	0	50
47	280	280	280	284	0	50
48	280	284	276	280	0	50
49	280	280	280	280	0	50
50	960	72	68	280	50	0
